                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5488,                 4.7625,                 2.7315,                0.00078,                0.16667,                0.00081,                0.00016,                 3.3207,                 5.5621,                 3.1623,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                  2.454,                 4.6555,                 2.5653,                 0.0014,                0.33333,                0.00271,                 0.0005,                 3.3469,                 5.5811,                 3.1558,             8.3267e-05,             8.3267e-05,             8.3267e-05
                      3,                 2.1779,                 4.5526,                 2.4232,                0.00341,                    0.5,                0.00689,                0.00149,                 3.1128,                  5.369,                 3.2366,              0.0001331,              0.0001331,              0.0001331
                      4,                 1.8705,                 3.9964,                 2.2724,                0.00229,                0.33333,                0.00458,                0.00083,                 3.2986,                 5.7315,                   3.34,             0.00018283,             0.00018283,             0.00018283
                      5,                 1.8408,                 3.5771,                 2.2047,                0.00457,                    0.5,                0.01163,                0.00278,                 3.2764,                 5.7134,                 3.0129,             0.00023246,             0.00023246,             0.00023246
                      6,                 1.4931,                 3.1003,                 1.9979,                0.01899,                    0.5,                0.03848,                0.01213,                 2.8196,                 6.6014,                 2.7101,             0.00028199,             0.00028199,             0.00028199
                      7,                 1.6505,                 3.1717,                 1.9936,                0.00461,                0.66667,                 0.2056,                0.07286,                 2.9742,                 5.2094,                 2.6673,             0.00033142,             0.00033142,             0.00033142
                      8,                 1.6541,                 3.0801,                 1.9976,                0.00485,                0.66667,                0.26959,                0.08645,                 3.0194,                 4.9324,                 2.7975,             0.00038075,             0.00038075,             0.00038075
                      9,                 1.5431,                 2.9929,                 1.9457,                 0.0043,                0.66667,                 0.2416,                 0.1016,                 2.9318,                 5.1229,                 2.6227,             0.00042999,             0.00042999,             0.00042999
                     10,                 1.3815,                 2.7222,                 1.8147,                0.00486,                0.66667,                0.24395,                0.13429,                 2.9359,                 5.0908,                 2.4769,             0.00047912,             0.00047912,             0.00047912
